##Date,Version,LiveLoaderTime,BulkLoaderTime    
1619434985000,v21.03.0-8-g02305d819,19m35.784888411s,01m40s
1619436992000,v21.03.0-8-g02305d819,19m8.753869166s,01m42s
1619445194000,v21.03.0-8-g02305d819,8m36.451817775s,01m32s
1619446946000,v21.03.0-8-g02305d819,8m39.493805139s,01m32s
1619456290000,v21.03.0-8-g02305d819,8m36.865811202s,01m30s
1619467075000,v21.03.0-8-g02305d819,8m38.010479159s,01m32s
1619477897000,v21.03.0-8-g02305d819,8m38.62511501s,01m32s
1619488672000,v21.03.0-8-g02305d819,8m37.586479078s,01m33s
1619508544000,v21.03.0-8-g02305d819,8m37.339043598s,01m30s
1619510289000,v21.03.0-8-g02305d819,8m38.991031759s,01m31s
1619521088000,v21.03.0-8-g02305d819,8m36.538461251s,01m31s
1619527466000,v21.03.0-8-g02305d819,8m38.617129207s,01m33s
1619531875000,v21.03.0-8-g02305d819,8m38.443459844s,01m31s
1619542687000,v21.03.0-8-g02305d819,8m37.692418295s,01m33s
1619553489000,v21.03.0-8-g02305d819,8m37.162576262s,01m31s
1619564284000,v21.03.0-8-g02305d819,8m38.869135346s,01m31s
1619575080000,v21.03.0-8-g02305d819,8m34.429802653s,01m32s
1619595050000,v21.03.0-8-g02305d819,9m2.324077996s,01m38s
1619596903000,v21.03.0-13-gea927fb96,9m11.30880892s,01m35s
1619613847000,v21.03.0-13-gea927fb96,8m38.402892906s,01m33s
1619618323000,v21.03.0-13-gea927fb96,8m40.427297014s,01m33s
1619629117000,v21.03.0-14-gbfc75c392,8m44.16752507s,01m34s
1619639924000,v21.03.0-14-gbfc75c392,8m45.603997565s,01m33s
1619650717000,v21.03.0-14-gbfc75c392,8m40.755512602s,01m33s
1619661483000,v21.03.0-14-gbfc75c392,8m33.633316638s,01m31s
1619681411000,v21.03.0-14-gbfc75c392,8m52.139463845s,01m30s
1619683166000,v21.03.0-14-gbfc75c392,8m33.228965685s,01m32s
1619694824000,v21.03.0-14-gbfc75c392,8m36.405174874s,01m34s
1619700250000,v21.03.0-14-gbfc75c392,8m36.149799983s,01m30s
1619704680000,v21.03.0-14-gbfc75c392,8m36.197200216s,01m31s
1619716573000,v21.03.0-14-gbfc75c392,8m35.197264912s,01m32s
1619726295000,v21.03.0-14-gbfc75c392,8m36.522791629s,01m32s
1619737079000,v21.03.0-14-gbfc75c392,8m35.248472957s,01m32s
1619747887000,v21.03.0-14-gbfc75c392,8m32.787434758s,01m30s
1619767807000,v21.03.0-15-g423f423f5,8m41.129124262s,01m32s
1619769598000,v21.03.0-15-g423f423f5,8m53.435990532s,01m35s
1619781275000,v21.03.0-15-g423f423f5,8m58.270447537s,01m56s
1619786651000,v21.03.0-15-g423f423f5,8m33.834916626s,01m31s
1619792090000,v21.03.0-16-g4c5a7ae87,8m31.866390667s,01m33s
1619801892000,v21.03.0-16-g4c5a7ae87,8m30.874585717s,01m32s
1619812701000,v21.03.0-16-g4c5a7ae87,8m30.277012203s,01m33s
